Nacionalidad,Provincias,Localidades,codes
Argentina,Buenos Aires,Balvanera,682
Argentina,Buenos Aires,Barracas,683
Argentina,Buenos Aires,Belgrano,687
Argentina,Buenos Aires,Boedo,697
Argentina,Buenos Aires,Buenos Aires,704
Argentina,Buenos Aires,Colegiales,773
Argentina,Buenos Aires,Retiro,1380
Argentina,Buenos Aires,Villa Lugano,1561
Argentina,Buenos Aires,Villa Ortúzar,1570
Argentina,Buenos Aires,Villa Santa Rita,1576
Argentina,Catamarca,Ancasti,659
Argentina,Catamarca,Andalgalá,661
Argentina,Catamarca,Antofagasta de la Sierra,663
Argentina,Catamarca,Capayán,726
Argentina,Catamarca,Departamento de Ambato,824
Argentina,Catamarca,Departamento de Ancasti,825
Argentina,Catamarca,Departamento de Andalgalá,826
Argentina,Catamarca,Departamento de Antofagasta de la Sierra,829
Argentina,Catamarca,Departamento de Capayán,846
Argentina,Catamarca,Departamento de Capital,849
Argentina,Catamarca,Departamento de El Alto,877
Argentina,Catamarca,Departamento de Fray Mamerto Esquiú,884
Argentina,Catamarca,Departamento de La Paz,918
Argentina,Catamarca,Departamento de Pomán,959
Argentina,Catamarca,Departamento de Santa María,1006
Argentina,Catamarca,Departamento de Santa Rosa,1007
Argentina,Catamarca,Departamento de Tinogasta,1020
Argentina,Catamarca,Departamento de Valle Viejo,1030
Argentina,Catamarca,El Rodeo,1060
Argentina,Catamarca,Fiambalá,1078
Argentina,Catamarca,Hualfín,1142
Argentina,Catamarca,Huillapima,1145
Argentina,Catamarca,Icaño,1149
Argentina,Catamarca,La Puerta de San José,1197
Argentina,Catamarca,Londres,1239
Argentina,Catamarca,Los Altos,1243
Argentina,Catamarca,Los Varela,1256
Argentina,Catamarca,Mutquín,1294
Argentina,Catamarca,Pomán,1340
Argentina,Catamarca,Puerta de Corral Quemado,1350
Argentina,Catamarca,Recreo,1378
Argentina,Catamarca,San Antonio,1408
Argentina,Catamarca,San Fernando del Valle de Catamarca,1421
Argentina,Catamarca,Santa María,1464
Argentina,Catamarca,Tinogasta,1505
Argentina,Chaco,Aviá Terai,677
Argentina,Chaco,Barranqueras,685
Argentina,Chaco,Basail,686
Argentina,Chaco,Campo Largo,719
Argentina,Chaco,Capitán Solari,730
Argentina,Chaco,Castelli,737
Argentina,Chaco,Charadai,753
Argentina,Chaco,Charata,754
Argentina,Chaco,Chorotis,765
Argentina,Chaco,Ciervo Petiso,767
Argentina,Chaco,Colonia Benítez,776
Argentina,Chaco,Colonia Elisa,778
Argentina,Chaco,Colonias Unidas,782
Argentina,Chaco,Concepción del Bermejo,791
Argentina,Chaco,Coronel Du Graty,799
Argentina,Chaco,Corzuela,804
Argentina,Chaco,Coté-Lai,807
Argentina,Chaco,Departamento de Almirante Brown,822
Argentina,Chaco,Departamento de Bermejo,837
Argentina,Chaco,Departamento de Comandante Fernández,865
Argentina,Chaco,Departamento de Doce de Octubre,875
Argentina,Chaco,Departamento de Dos de Abril,876
Argentina,Chaco,Departamento de General Donovan,890
Argentina,Chaco,Departamento de General Güemes,892
Argentina,Chaco,Departamento de Independencia,909
Argentina,Chaco,Departamento de Libertad,928
Argentina,Chaco,Departamento de Maipú,937
Argentina,Chaco,Departamento de Nueve de Julio,950
Argentina,Chaco,Departamento de O’Higgins,954
Argentina,Chaco,Departamento de Presidencia de la Plaza,960
Argentina,Chaco,Departamento de Quitilipi,962
Argentina,Chaco,Departamento de San Fernando,986
Argentina,Chaco,Departamento de San Lorenzo,994
Argentina,Chaco,Departamento de Sargento Cabral,1010
Argentina,Chaco,Departamento de Tapenagá,1017
Argentina,Chaco,Fontana,1081
Argentina,Chaco,Gancedo,1088
Argentina,Chaco,General José de San Martín,1105
Argentina,Chaco,General Pinedo,1109
Argentina,Chaco,General Vedia,1114
Argentina,Chaco,Hermoso Campo,1135
Argentina,Chaco,La Clotilde,1181
Argentina,Chaco,La Eduvigis,1186
Argentina,Chaco,La Escondida,1187
Argentina,Chaco,La Leonesa,1191
Argentina,Chaco,La Tigra,1201
Argentina,Chaco,La Verde,1203
Argentina,Chaco,Laguna Limpia,1208
Argentina,Chaco,Lapachito,1213
Argentina,Chaco,Las Breñas,1216
Argentina,Chaco,Las Garcitas,1218
Argentina,Chaco,Los Frentones,1249
Argentina,Chaco,Machagai,1260
Argentina,Chaco,Makallé,1264
Argentina,Chaco,Margarita Belén,1270
Argentina,Chaco,Napenay,1296
Argentina,Chaco,Pampa Almirón,1314
Argentina,Chaco,Pampa del Indio,1316
Argentina,Chaco,Pampa del Infierno,1317
Argentina,Chaco,Presidencia de la Plaza,1347
Argentina,Chaco,Presidencia Roca,1345
Argentina,Chaco,Presidencia Roque Sáenz Peña,1346
Argentina,Chaco,Puerto Bermejo,1351
Argentina,Chaco,Puerto Tirol,1363
Argentina,Chaco,Puerto Vilelas,1364
Argentina,Chaco,Quitilipi,1370
Argentina,Chaco,Resistencia,1379
Argentina,Chaco,Samuhú,1405
Argentina,Chaco,San Bernardo,1414
Argentina,Chaco,Santa Sylvina,1471
Argentina,Chaco,Taco Pozo,1493
Argentina,Chaco,Tres Isletas,1515
Argentina,Chaco,Villa Ángela,1586
Argentina,Chaco,Villa Berthet,1542
Argentina,Chubut,Alto Río Senguer,655
Argentina,Chubut,Camarones,715
Argentina,Chubut,Comodoro Rivadavia,787
Argentina,Chubut,Departamento de Biedma,839
Argentina,Chubut,Departamento de Cushamen,873
Argentina,Chubut,Departamento de Escalante,880
Argentina,Chubut,Departamento de Florentino Ameghino,883
Argentina,Chubut,Departamento de Futaleufú,885
Argentina,Chubut,Departamento de Gaimán,886
Argentina,Chubut,Departamento de Gastre,887
Argentina,Chubut,Departamento de Languiñeo,923
Argentina,Chubut,Departamento de Mártires,949
Argentina,Chubut,Departamento de Paso de Indios,956
Argentina,Chubut,Departamento de Rawson,963
Argentina,Chubut,Departamento de Río Senguerr,979
Argentina,Chubut,Departamento de Sarmiento,1012
Argentina,Chubut,Departamento de Tehuelches,1018
Argentina,Chubut,Departamento de Telsen,1019
Argentina,Chubut,Dolavón,1042
Argentina,Chubut,El Maitén,1058
Argentina,Chubut,Esquel,1070
Argentina,Chubut,Gaimán,1087
Argentina,Chubut,Gastre,1092
Argentina,Chubut,Gobernador Costa,1115
Argentina,Chubut,Hoyo de Epuyén,1141
Argentina,Chubut,José de San Martín,1169
Argentina,Chubut,Lago Puelo,1206
Argentina,Chubut,Las Plumas,1229
Argentina,Chubut,Puerto Madryn,1359
Argentina,Chubut,Rada Tilly,1371
Argentina,Chubut,Rawson,1374
Argentina,Chubut,Río Mayo,1393
Argentina,Chubut,Río Pico,1394
Argentina,Chubut,Sarmiento,1477
Argentina,Chubut,Tecka,1499
Argentina,Chubut,Trelew,1512
Argentina,Chubut,Trevelin,1516
Argentina,Córdoba,Achiras,639
Argentina,Córdoba,Adelia María,640
Argentina,Córdoba,Agua de Oro,641
Argentina,Córdoba,Alejandro Roca,647
Argentina,Córdoba,Alejo Ledesma,648
Argentina,Córdoba,Almafuerte,651
Argentina,Córdoba,Alta Gracia,653
Argentina,Córdoba,Altos de Chipión,656
Argentina,Córdoba,Arias,668
Argentina,Córdoba,Arroyito,671
Argentina,Córdoba,Arroyo Cabral,672
Argentina,Córdoba,Balnearia,681
Argentina,Córdoba,Bell Ville,688
Argentina,Córdoba,Berrotarán,695
Argentina,Córdoba,Brinkmann,701
Argentina,Córdoba,Buchardo,702
Argentina,Córdoba,Camilo Aldao,716
Argentina,Córdoba,Cañada de Luque,744
Argentina,Córdoba,Canals,723
Argentina,Córdoba,Capilla del Monte,727
Argentina,Córdoba,Carnerillo,733
Argentina,Córdoba,Carrilobo,734
Argentina,Córdoba,Cavanagh,742
Argentina,Córdoba,Charras,755
Argentina,Córdoba,Chazón,757
Argentina,Córdoba,Cintra,769
Argentina,Córdoba,Colonia La Tordilla,780
